season,episode,speaker,symptom,test,drug,procedure,intent,diagnosis_stage,sarcasm,emotion,organ,correct_prediction,model_prediction,text,medical_entities,symptom_list,test_list,drug_list,procedure_list,organ_list,near_dup_cluster,source_intent,source_emotion,source_diagnosis_stage,prev_text_1,prev_text_2,feature_text,is_augmented
1,1,House,,tiamin düzeyi,,,açıklama,test,0,nötr,,nörosistiserkozis,,"Hayır,"" kandaki tiamin düzeyi normaldi.","[{""text"": ""tiamin düzeyi"", ""type"": ""Test""}]",,tiamin düzeyi,,,,,açıklama,nötr,test,Wernicke ensefalopatisi olabilir mi?,Creutzfeldt-Jakob hastalığı olabilir.,"[SPEAKER=House] [TEST=tiamin düzeyi] [PREV=Creutzfeldt-Jakob hastalığı olabilir. || Wernicke ensefalopatisi olabilir mi?] [TEXT=Hayır,"" kandaki tiamin düzeyi normaldi.]",False
1,1,House,,"kan testi,""kontrastlı MR",,,hipotez,test,0,nötr,beyin,nörosistiserkozis,,Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.,"[{""text"": ""kan testi"", ""type"": ""Test""}, {""text"": ""kontrastlı MR"", ""type"": ""Test""}]",,"kan testi, ""kontrastlı MR",,,beyin,,hipotez,nötr,test,"Hayır,"" kandaki tiamin düzeyi normaldi.",Wernicke ensefalopatisi olabilir mi?,"[SPEAKER=House] [TEST=kan testi, ""kontrastlı MR] [ORGAN=beyin] [PREV=Wernicke ensefalopatisi olabilir mi? || Hayır,"" kandaki tiamin düzeyi normaldi.] [TEXT=Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.]",False
1,1,Foreman,,MR,gadolinyum,,açıklama,test,0,nötr,beyin,nörosistiserkozis,,Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak.,"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""MR"", ""type"": ""Test""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",,MR,gadolinyum,,beyin,,açıklama,nötr,test,Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.,"Hayır,"" kandaki tiamin düzeyi normaldi.","[SPEAKER=Foreman] [TEST=MR] [DRUG=gadolinyum] [ORGAN=beyin] [PREV=Hayır,"" kandaki tiamin düzeyi normaldi. || Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.] [TEXT=Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak.]",False
1,1,Foreman,solunum durması,,epinefrin,,açıklama,test,0,kaygı,,nörosistiserkozis,,Nefes almıyor. Yarım doz epinefrin verin.,"[{""text"": ""solunum durması"", ""type"": ""Symptom""}, {""text"": ""epinefrin"", ""type"": ""Drug""}]",solunum durması,,epinefrin,,,,açıklama,kaygı,test,Gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.,Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak.,[SPEAKER=Foreman] [SYMPTOM=solunum durması] [DRUG=epinefrin] [PREV=Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak. || Gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.] [TEXT=Nefes almıyor. Yarım doz epinefrin verin.],False
1,1,Foreman,ödem,,,cerrahi hava yolu,açıklama,test,0,kaygı,boğaz,nörosistiserkozis,,Ödem çok fazla; cerrahi hava yolu setini getirin.,"[{""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""cerrahi hava yolu"", ""type"": ""Procedure""}, {""text"": ""boğaz"", ""type"": ""Anatomy""}]",ödem,,,cerrahi hava yolu,boğaz,,açıklama,kaygı,test,Ventile edemiyorum.,Nefes almıyor. Yarım doz epinefrin verin.,[SPEAKER=Foreman] [SYMPTOM=ödem] [PROCEDURE=cerrahi hava yolu] [ORGAN=boğaz] [PREV=Nefes almıyor. Yarım doz epinefrin verin. || Ventile edemiyorum.] [TEXT=Ödem çok fazla; cerrahi hava yolu setini getirin.],False
1,1,House,,,,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,[],,,,,,,açıklama,nötr,değerlendirme,Ödem çok fazla; cerrahi hava yolu setini getirin.,Ventile edemiyorum.,[SPEAKER=House] [PREV=Ventile edemiyorum. || Ödem çok fazla; cerrahi hava yolu setini getirin.] [TEXT=Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.],False
1,1,House,,,prednizon,,hipotez,test,0,nötr,,nörosistiserkozis,,Yüksek doz prednizon başlayın.,"[{""text"": ""prednizon"", ""type"": ""Drug""}]",,,prednizon,,,,hipotez,nötr,test,Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,Ödem çok fazla; cerrahi hava yolu setini getirin.,[SPEAKER=House] [DRUG=prednizon] [PREV=Ödem çok fazla; cerrahi hava yolu setini getirin. || Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.] [TEXT=Yüksek doz prednizon başlayın.],False
1,1,Foreman,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Serebral vaskülit tanısını desteklemeye çalışıyorsun.,"[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}]",,,,,beyin,,açıklama,nötr,hipotez,Yüksek doz prednizon başlayın.,Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,[SPEAKER=Foreman] [ORGAN=beyin] [PREV=Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor. || Yüksek doz prednizon başlayın.] [TEXT=Serebral vaskülit tanısını desteklemeye çalışıyorsun.],False
1,1,Cameron,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Beyindeki damarların iltihabı,"" onun yaşında biri için oldukça nadirdir.","[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}, {""text"": ""damar"", ""type"": ""Anatomy""}]",,,,,beyin,,açıklama,nötr,hipotez,Serebral vaskülit tanısını desteklemeye çalışıyorsun.,Yüksek doz prednizon başlayın.,"[SPEAKER=Cameron] [ORGAN=beyin] [PREV=Yüksek doz prednizon başlayın. || Serebral vaskülit tanısını desteklemeye çalışıyorsun.] [TEXT=Beyindeki damarların iltihabı,"" onun yaşında biri için oldukça nadirdir.]",False
1,1,Cameron,,,,biyopsi,açıklama,test,0,nötr,beyin,nörosistiserkozis,,Bunu biyopsi olmadan teşhis edemezsiniz.,"[{""text"": ""biyopsi"", ""type"": ""Procedure""}]",,,,biyopsi,beyin,,açıklama,nötr,test,Ama tümör de nadir; sedimantasyon hızı yüksekti.,"Beyindeki damarların iltihabı,"" onun yaşında biri için oldukça nadirdir.","[SPEAKER=Cameron] [PROCEDURE=biyopsi] [ORGAN=beyin] [PREV=Beyindeki damarların iltihabı,"" onun yaşında biri için oldukça nadirdir. || Ama tümör de nadir; sedimantasyon hızı yüksekti.] [TEXT=Bunu biyopsi olmadan teşhis edemezsiniz.]",False
1,1,House,,,,,açıklama,test,0,nötr,,nörosistiserkozis,,Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.,[],,,,,,,açıklama,nötr,test,Bunu biyopsi olmadan teşhis edemezsiniz.,Ama tümör de nadir; sedimantasyon hızı yüksekti.,[SPEAKER=House] [PREV=Ama tümör de nadir; sedimantasyon hızı yüksekti. || Bunu biyopsi olmadan teşhis edemezsiniz.] [TEXT=Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.],False
1,1,Rebecca,,,,,soru,test,0,kaygı,beyin,nörosistiserkozis,,Yani tümör değil mi? Beynimde tümör yok mu?,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",,,,,beyin,,soru,kaygı,test,"Sizi vaskülit için tedavi ediyoruz; bu,"" beyindeki damarların iltihaplanması demek.""",Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.,"[SPEAKER=Rebecca] [ORGAN=beyin] [PREV=Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur. || Sizi vaskülit için tedavi ediyoruz; bu,"" beyindeki damarların iltihaplanması demek.""] [TEXT=Yani tümör değil mi? Beynimde tümör yok mu?]",False
1,1,Rebecca,görme kaybı,,,,açıklama,değerlendirme,0,kaygı,göz,nörosistiserkozis,,Artık göremiyorum.,"[{""text"": ""görme kaybı"", ""type"": ""Symptom""}]",görme kaybı,,,,göz,,açıklama,kaygı,değerlendirme,Yani tümör değil mi? Beynimde tümör yok mu?,"Sizi vaskülit için tedavi ediyoruz; bu,"" beyindeki damarların iltihaplanması demek.""","[SPEAKER=Rebecca] [SYMPTOM=görme kaybı] [ORGAN=göz] [PREV=Sizi vaskülit için tedavi ediyoruz; bu,"" beyindeki damarların iltihaplanması demek."" || Yani tümör değil mi? Beynimde tümör yok mu?] [TEXT=Artık göremiyorum.]",False
1,1,Foreman,"zihinsel durum bozukluğu,""konuşma bozukluğu",,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Zihinsel durum bozukluğu aralıklı,[],"zihinsel durum bozukluğu, ""konuşma bozukluğu",,,,beyin,,açıklama,nötr,değerlendirme,Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.,Artık göremiyorum.,"[SPEAKER=Foreman] [SYMPTOM=zihinsel durum bozukluğu, ""konuşma bozukluğu] [ORGAN=beyin] [PREV=Artık göremiyorum. || Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.] [TEXT=Zihinsel durum bozukluğu aralıklı]",False
1,1,Foreman,"körlük,solunum yetmezliği,yürüyememe",,,,açıklama,değerlendirme,0,kaygı,"beyin sapı, ""solunum merkezi",nörosistiserkozis,,Belirtiler sorunun beyin sapına ilerlediğini gösteriyor,[],"körlük, solunum yetmezliği, yürüyememe",,,,"beyin sapı, ""solunum merkezi",,açıklama,kaygı,değerlendirme,Zihinsel durum bozukluğu aralıklı,Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.,"[SPEAKER=Foreman] [SYMPTOM=körlük, solunum yetmezliği, yürüyememe] [ORGAN=beyin sapı, ""solunum merkezi] [PREV=Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık. || Zihinsel durum bozukluğu aralıklı] [TEXT=Belirtiler sorunun beyin sapına ilerlediğini gösteriyor]",False
1,1,Foreman,,,,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,"Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta.""","[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""enfeksiyon"", ""type"": ""Disease""}, {""text"": ""damarsal hastalık"", ""type"": ""Disease""}]",,,,,,,açıklama,nötr,değerlendirme,Belirtiler sorunun beyin sapına ilerlediğini gösteriyor,Zihinsel durum bozukluğu aralıklı,"[SPEAKER=Foreman] [PREV=Zihinsel durum bozukluğu aralıklı || Belirtiler sorunun beyin sapına ilerlediğini gösteriyor] [TEXT=Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta.""]",False
1,1,House,,,steroid,,açıklama,değerlendirme,0,nötr,,nörosistiserkozis,,Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.,"[{""text"": ""steroid"", ""type"": ""Drug""}]",,,steroid,,,,açıklama,nötr,değerlendirme,"Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta.""",Belirtiler sorunun beyin sapına ilerlediğini gösteriyor,"[SPEAKER=House] [DRUG=steroid] [PREV=Belirtiler sorunun beyin sapına ilerlediğini gösteriyor || Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta.""] [TEXT=Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.]",False
1,1,House,yürüyememe,,,,açıklama,değerlendirme,0,nötr,beyin,nörosistiserkozis,,Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""yürüyememe"", ""type"": ""Symptom""}]",yürüyememe,,,,beyin,,açıklama,nötr,değerlendirme,Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.,"Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta.""","[SPEAKER=House] [SYMPTOM=yürüyememe] [ORGAN=beyin] [PREV=Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta,"" damarsal bir nedense belki bir hafta."" || Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.] [TEXT=Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.]",False
1,1,House,,,,,hipotez,hipotez,1,alaycı,,nörosistiserkozis,,Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.,"[{""text"": ""nörosistiserkozis"", ""type"": ""Disease""}]",,,,,,,hipotez,alaycı,hipotez,Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.,[SPEAKER=House] [PREV=Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum. || Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.] [TEXT=Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.],False
1,1,Chase,,,,,soru,hipotez,0,kaygı,beyin,nörosistiserkozis,,Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun?,"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",,,,,beyin,,soru,kaygı,hipotez,Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.,Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.,[SPEAKER=Chase] [ORGAN=beyin] [PREV=Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor. || Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.] [TEXT=Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun?],False
1,1,House,,,,,açıklama,hipotez,0,nötr,"bağırsak, ""kan dolaşımı",nörosistiserkozis,,Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.,"[{""text"": ""bağırsak"", ""type"": ""Anatomy""}, {""text"": ""kan dolaşımı"", ""type"": ""Anatomy""}]",,,,,"bağırsak, ""kan dolaşımı",,açıklama,nötr,hipotez,Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.,Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun?,"[SPEAKER=House] [ORGAN=bağırsak, ""kan dolaşımı] [PREV=Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun? || Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.] [TEXT=Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.]",False
1,1,House,,,,,açıklama,hipotez,0,nötr,bağışıklık sistemi,nörosistiserkozis,,Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.,"[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""bağışıklık sistemi"", ""type"": ""Anatomy""}]",,,,,bağışıklık sistemi,,açıklama,nötr,hipotez,Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.,Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.,[SPEAKER=House] [ORGAN=bağışıklık sistemi] [PREV=Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler. || Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.] [TEXT=Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.],False
1,1,House,ödem,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,"Parazit ölmeye başlayınca bağışıklık sistemi saldırır,"" her şey şişer ve bu beyin için çok kötüdür.","[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",ödem,,,,beyin,,açıklama,nötr,hipotez,Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.,Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.,"[SPEAKER=House] [SYMPTOM=ödem] [ORGAN=beyin] [PREV=Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir. || Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.] [TEXT=Parazit ölmeye başlayınca bağışıklık sistemi saldırır,"" her şey şişer ve bu beyin için çok kötüdür.]",False
1,1,House,,,,,açıklama,hipotez,0,nötr,beyin,nörosistiserkozis,,Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.,"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",,,,,beyin,,açıklama,nötr,hipotez,"Parazit ölmeye başlayınca bağışıklık sistemi saldırır,"" her şey şişer ve bu beyin için çok kötüdür.",Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.,"[SPEAKER=House] [ORGAN=beyin] [PREV=Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar. || Parazit ölmeye başlayınca bağışıklık sistemi saldırır,"" her şey şişer ve bu beyin için çok kötüdür.] [TEXT=Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.]",False
1,1,Chase,,röntgen,,,açıklama,test,0,nötr,,nörosistiserkozis,,Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.,"[{""text"": ""röntgen"", ""type"": ""Test""}, {""text"": ""kurt"", ""type"": ""Disease""}]",,röntgen,,,,,açıklama,nötr,test,Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.,Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.,[SPEAKER=Chase] [TEST=röntgen] [PREV=Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin. || Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.] [TEXT=Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.],False
1,1,House,,röntgen,,,hipotez,test,0,nötr,"bacak, ""uyluk kası",nörosistiserkozis,,Başını değil bacağını röntgenlemeliyiz,[],,röntgen,,,"bacak, ""uyluk kası",,hipotez,nötr,test,Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.,Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.,"[SPEAKER=House] [TEST=röntgen] [ORGAN=bacak, ""uyluk kası] [PREV=Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir. || Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.] [TEXT=Başını değil bacağını röntgenlemeliyiz]",False
1,1,Chase,,,,,açıklama,kesin_tanı,0,nötr,,nörosistiserkozis,,Burada gördüğünüz şey bir kurt larvası.,"[{""text"": ""kurt larvası"", ""type"": ""Disease""}]",,,,,,,açıklama,nötr,kesin_tanı,Başını değil bacağını röntgenlemeliyiz,Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.,[SPEAKER=Chase] [PREV=Sıradan bir röntgende kurtlar saçma taneleri gibi görünür. || Başını değil bacağını röntgenlemeliyiz] [TEXT=Burada gördüğünüz şey bir kurt larvası.],False
1,1,Rebecca,,,,,soru,kesin_tanı,0,kaygı,"bacak, beyin",nörosistiserkozis,,"Bacağımda varsa beynimde de vardır,"" öyle mi?","[{""text"": ""bacak"", ""type"": ""Anatomy""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]",,,,,"bacak, beyin",,soru,kaygı,kesin_tanı,Burada gördüğünüz şey bir kurt larvası.,Başını değil bacağını röntgenlemeliyiz,"[SPEAKER=Rebecca] [ORGAN=bacak, beyin] [PREV=Başını değil bacağını röntgenlemeliyiz || Burada gördüğünüz şey bir kurt larvası.] [TEXT=Bacağımda varsa beynimde de vardır,"" öyle mi?]",False
